timestamp,symbol,candle_time,direction,decision,score_pct,model,blockers,close_5m,ema_5m,rsi_5m,roc_5m,rvol,rvol_required,vwap_session,vwap_weekly,supertrend,st_direction,close_15m,ema_15m,rsi_15m,roc_15m,adx_15m,bull_direction_ok,bear_direction_ok,vwap_bull,vwap_bear,breakout_bull,breakout_bear,trend_continuation_bull,trend_continuation_bear
2026-08-27T09:20:03,BEL,2026-08-27 09:15:00+05:30,BULL,NO_SIGNAL,40.0,BREAKOUT_CONTINUATION,MACRO_BULL|ST_BULL|ENTRY_TRIGGER,409.35,409.0498,54.7,0.061,8.256,1.2,409.4333,408.9775,409.4895,BEAR,408.55,409.1599,42.76,-0.122,9.61,False,False,False,False,True,False,False,False
2026-08-27T09:20:04,TATACONSUM,2026-08-27 09:15:00+05:30,BULL,NO_SIGNAL,20.0,,MACRO_BULL|ABOVE_WVWAP|RVOL|ENTRY_TRIGGER,1045.3,1044.6224,52.3,0.144,0.815,1.2,1044.9,1051.0228,1041.1564,BULL,1047.8,1046.3612,51.55,0.258,21.47,False,False,False,False,False,False,False,False
2026-08-27T09:20:04,BAJAJ-AUTO,2026-08-27 09:15:00+05:30,BEAR,NO_SIGNAL,60.0,,MACRO_BEAR|ENTRY_TRIGGER,11763.0,11776.6597,42.22,-0.339,3.854,1.2,11775.0,11800.9152,11804.4409,BEAR,11750.0,11790.8367,39.55,-0.077,19.73,False,True,False,False,False,False,False,False
2026-08-27T09:20:05,NESTLEIND,2026-08-27 09:15:00+05:30,BULL,NO_SIGNAL,40.0,,MACRO_BULL|ABOVE_WVWAP|ENTRY_TRIGGER,1462.1,1455.4635,70.19,0.564,6.299,1.2,1459.5333,1463.7032,1450.4231,BULL,1457.0,1456.7383,48.45,0.179,15.83,True,False,False,False,False,False,False,False
2026-08-27T09:20:05,BAJFINANCE,2026-08-27 09:15:00+05:30,BULL,NEAR,80.0,BREAKOUT_CONTINUATION,MACRO_BULL,1102.9,1089.2708,84.24,1.416,16.556,1.2,1099.9667,1085.1657,1086.404,BULL,1088.0,1087.0796,54.49,-0.092,24.83,True,False,False,False,True,False,False,False
2026-08-27T09:20:06,HINDALCO,2026-08-27 09:15:00+05:30,BEAR,NEAR,80.0,BREAKOUT_CONTINUATION,MACRO_BEAR,1049.3,1053.0566,42.09,-0.2,2.844,1.2,1052.9167,1050.5014,1060.5892,BEAR,1058.0,1050.3562,73.0,1.263,31.29,False,True,False,False,False,True,False,False
2026-08-27T09:20:06,NTPC,2026-08-27 09:15:00+05:30,BEAR,NEAR,80.0,BREAKOUT_CONTINUATION,MACRO_BEAR,333.75,336.325,13.58,-0.788,7.125,1.2,334.4,338.9492,337.0102,BEAR,336.5,337.3542,40.24,-0.37,19.02,False,True,False,False,False,True,False,False
2026-08-27T09:20:07,HDFCLIFE,2026-08-27 09:15:00+05:30,BEAR,NEAR,80.0,,ENTRY_TRIGGER,553.5,558.6267,17.34,-1.214,1.786,1.2,554.5333,554.7312,559.3521,BEAR,555.8,557.8963,45.0,-0.803,34.23,False,True,False,False,False,False,False,False
2026-08-27T09:20:07,SBILIFE,2026-08-27 09:15:00+05:30,BEAR,NO_SIGNAL,60.0,,BELOW_WVWAP|ENTRY_TRIGGER,1773.3,1774.427,45.08,-0.096,2.323,1.2,1773.8,1768.039,1778.0591,BEAR,1772.7,1774.4646,48.48,-0.365,23.16,False,False,False,False,False,False,False,False
2026-08-27T09:20:08,HINDUNILVR,2026-08-27 09:15:00+05:30,BEAR,NO_SIGNAL,60.0,,MACRO_BEAR|ENTRY_TRIGGER,2021.4,2024.6533,34.65,-0.193,2.71,1.2,2022.5,2023.2731,2028.4702,BEAR,2025.0,2027.3766,44.39,-0.246,18.46,False,True,False,False,False,False,False,False
2026-08-27T09:20:08,MARUTI,2026-08-27 09:15:00+05:30,BEAR,NO_SIGNAL,60.0,,MACRO_BEAR|ENTRY_TRIGGER,13530.0,13564.7577,32.14,-0.39,1.759,1.2,13539.0,13563.2923,13567.7463,BEAR,13560.0,13593.1895,40.1,-0.382,19.25,False,True,False,False,False,False,False,False
2026-08-27T09:20:09,ITC,2026-08-27 09:15:00+05:30,BULL,NO_SIGNAL,40.0,,MACRO_BULL|ST_BULL|ENTRY_TRIGGER,270.8,271.1396,39.71,-0.221,1.658,1.2,270.5167,270.1281,271.6461,BEAR,271.15,271.213,50.7,-0.018,21.21,False,True,False,False,False,False,False,False
2026-08-27T09:20:09,TMPV,2026-08-27 09:15:00+05:30,BULL,NO_SIGNAL,40.0,,MACRO_BULL|ST_BULL|ENTRY_TRIGGER,315.15,315.1607,49.65,0.0,4.5,1.2,315.7,314.2656,316.509,BEAR,315.0,315.0385,50.78,-0.174,21.44,False,False,False,False,False,False,False,False
2026-08-27T09:20:10,ADANIPORTS,2026-08-27 09:15:00+05:30,BULL,NEAR,80.0,,ENTRY_TRIGGER,1698.0,1697.0651,54.64,0.153,2.29,1.2,1699.7,1690.7653,1690.3632,BULL,1696.8,1695.3736,54.08,0.148,26.43,False,False,False,False,False,False,False,False
2026-08-27T09:20:11,DRREDDY,2026-08-27 09:15:00+05:30,BEAR,NO_SIGNAL,60.0,BREAKOUT_CONTINUATION,MACRO_BEAR|RVOL,1183.6,1188.7149,32.16,-0.663,0.93,1.2,1185.1667,1186.6929,1193.2349,BEAR,1185.0,1187.8819,44.7,0.161,14.14,False,True,False,False,False,True,False,False
2026-08-27T09:20:11,WIPRO,2026-08-27 09:15:00+05:30,BEAR,NO_SIGNAL,60.0,,ST_BEAR|ENTRY_TRIGGER,177.92,177.5766,59.26,0.327,2.412,1.2,177.9733,179.9657,177.2207,BULL,177.55,178.0639,38.76,-0.393,33.15,True,False,False,False,False,False,False,False
2026-08-27T09:20:12,ONGC,2026-08-27 09:15:00+05:30,BULL,NO_SIGNAL,40.0,,MACRO_BULL|ABOVE_WVWAP|ENTRY_TRIGGER,233.7,233.1232,68.44,0.21,3.502,1.2,233.45,234.61,232.632,BULL,233.23,233.1184,49.91,0.228,34.09,True,False,False,False,False,False,False,False
2026-08-27T09:20:12,SBIN,2026-08-27 09:15:00+05:30,BULL,NO_SIGNAL,40.0,,MACRO_BULL|ST_BULL|ENTRY_TRIGGER,1051.3,1055.1923,30.26,-0.351,3.141,1.2,1051.7,1042.725,1057.4573,BEAR,1055.9,1054.3825,59.9,-0.095,33.43,False,True,False,False,False,False,False,False
2026-08-27T09:20:13,EICHERMOT,2026-08-27 09:15:00+05:30,BEAR,NO_SIGNAL,60.0,,BELOW_WVWAP|ENTRY_TRIGGER,8047.0,8078.4431,25.9,-0.556,4.454,1.2,8041.8333,8043.9721,8086.2864,BEAR,8057.0,8074.9742,42.16,-0.26,42.29,False,True,False,False,False,False,False,False
2026-08-27T09:20:13,COALINDIA,2026-08-27 09:15:00+05:30,BEAR,NO_SIGNAL,40.0,,MACRO_BEAR|RVOL|ENTRY_TRIGGER,402.8,403.9604,33.48,-0.309,0.687,1.2,403.5,404.1953,404.5638,BEAR,403.5,403.7586,48.23,0.311,19.63,False,True,False,False,False,False,False,False
2026-08-27T09:20:14,BAJAJFINSV,2026-08-27 09:15:00+05:30,BULL,NEAR,80.0,BREAKOUT_CONTINUATION,MACRO_BULL,2022.2,2013.7944,78.88,0.537,3.258,1.2,2016.6333,2008.0236,2009.7907,BULL,2018.0,2011.3084,61.76,0.248,15.06,True,False,False,False,True,False,False,False
2026-08-27T09:20:14,MAXHEALTH,2026-08-27 09:15:00+05:30,BEAR,NO_SIGNAL,60.0,,BELOW_WVWAP|ENTRY_TRIGGER,1006.9,1015.3194,25.56,-0.974,3.422,1.2,1007.2,1000.1022,1018.953,BEAR,1012.0,1014.5595,47.86,-0.296,41.25,False,True,False,False,False,False,False,False
2026-08-27T09:20:15,KOTAKBANK,2026-08-27 09:15:00+05:30,BULL,SIGNAL,100.0,BREAKOUT_CONTINUATION,,420.1,416.2921,80.76,1.095,8.009,1.2,419.5,406.9336,415.0583,BULL,416.45,413.4328,74.74,0.41,56.73,True,False,False,False,True,False,False,False
2026-08-27T09:20:15,APOLLOHOSP,2026-08-27 09:15:00+05:30,BULL,NEAR,80.0,BREAKOUT_CONTINUATION,MACRO_BULL,8827.5,8809.1399,62.47,0.301,9.03,1.2,8822.6667,8717.9912,8791.6223,BULL,8799.0,8801.7516,51.25,-0.079,37.63,True,False,False,False,True,False,False,False
2026-08-27T09:20:16,CIPLA,2026-08-27 09:15:00+05:30,BULL,NO_SIGNAL,40.0,,MACRO_BULL|ABOVE_WVWAP|ENTRY_TRIGGER,1408.3,1411.9226,40.44,-0.297,1.745,1.2,1410.2667,1420.8582,1407.6352,BULL,1410.6,1412.1053,45.8,0.334,28.66,False,True,False,False,False,False,False,False
2026-08-27T09:20:16,JSWSTEEL,2026-08-27 09:15:00+05:30,BULL,SIGNAL,100.0,BREAKOUT_CONTINUATION,,1345.5,1334.1299,76.31,1.364,5.139,1.2,1345.1667,1317.7397,1331.3161,BULL,1338.1,1325.5662,75.76,1.494,48.51,True,False,False,False,True,False,False,False
2026-08-27T09:20:17,HCLTECH,2026-08-27 09:15:00+05:30,BEAR,NEAR,80.0,BREAKOUT_CONTINUATION,MACRO_BEAR,1296.9,1299.9548,35.99,-0.231,4.771,1.2,1298.8333,1308.934,1304.8555,BEAR,1300.0,1301.5657,43.31,0.038,17.47,False,True,False,False,False,True,False,False
2026-08-27T09:20:17,TCS,2026-08-27 09:15:00+05:30,BEAR,NO_SIGNAL,60.0,,MACRO_BEAR|ENTRY_TRIGGER,2271.6,2270.9115,52.24,0.026,3.751,1.2,2272.9,2283.9451,2274.5055,BEAR,2271.5,2274.0121,42.83,0.004,15.29,False,False,False,False,False,False,False,False
2026-08-27T09:20:18,INDIGO,2026-08-27 09:15:00+05:30,BEAR,NO_SIGNAL,60.0,TREND_CONTINUATION,MACRO_BEAR|BELOW_WVWAP,5235.5,5251.0675,31.65,-0.324,2.359,1.2,5240.5,5172.7694,5265.6521,BEAR,5245.0,5239.3056,59.17,-0.067,32.37,False,True,False,False,False,False,False,True
2026-08-27T09:20:18,BHARTIARTL,2026-08-27 09:15:00+05:30,BEAR,SIGNAL,100.0,BREAKOUT_CONTINUATION,,1900.1,1913.3012,20.6,-0.763,8.68,1.2,1904.6667,1929.9021,1916.3315,BEAR,1913.9,1918.0612,36.9,-0.214,35.66,False,True,False,False,False,True,False,False
2026-08-27T09:20:19,ETERNAL,2026-08-27 09:15:00+05:30,BULL,NEAR,80.0,BREAKOUT_CONTINUATION,MACRO_BULL,329.1,326.8608,71.54,0.889,2.58,1.2,329.1,328.2622,325.9563,BULL,327.25,327.142,48.85,0.291,25.22,True,False,False,False,True,False,False,False
2026-08-27T09:20:19,LT,2026-08-27 09:15:00+05:30,BEAR,NEAR,80.0,BREAKOUT_CONTINUATION,MACRO_BEAR,4044.0,4057.4356,33.12,-0.394,3.233,1.2,4046.0,4084.9596,4070.9039,BEAR,4052.0,4065.4097,35.62,-0.295,21.58,False,True,False,False,False,True,False,False
